TotalCharacters,MailCharacterOccurance
8650,2
7610,1
5816,0
3301,1
820,0
3888,0
1621,1
10469,1
3783,1
3286,1
2451,1
2970,1
9942,1
1118,6
1929,3
1982,7
2334,8
3142,9
2090,9
5131,15
3975,1
2710,1
1048,1
1689,2
1357,1
2776,1
1384,1
2581,1
4705,1
4532,1
3581,1
3515,4
1517,1
3810,1
2925,1
28047,1
5571,1
2993,1
434,0
772,0
1458,0
596,0
1473,0
1581,0
3086,0
497,1
336,0
1332,1
369,0
854,1
1146,0
439,0
279,0
890,1
547,0
2174,0
481,0
1706,1
1777,0
224,0
3898,2
645,0
321,0
731,0
582,0
914,1
2225,2
579,2
791,2
1100,1
364,1
1485,1
2343,2
1138,1
808,1
647,1
984,3
1842,5
817,3
2015,1
483,1
1135,1
934,1
803,1
867,1
1132,1
595,2
1390,1
1147,1
1858,5
443,2
1169,2
