TotalWords,TotalCharacters,UpperCaseCharacters,MailCharacterOccurance,TotalSpamWords,TotalSpamPhrases,TurkishLiraCount,DollarCount,SubscribeCount,Spam
487,3175,119,1,1,0,0,1,0,0
96,745,21,0,2,0,0,0,0,0
60,445,12,0,1,0,0,0,0,0
117,877,27,0,0,0,0,0,0,0
169,1035,49,0,0,1,0,1,1,0
200,1457,35,0,3,0,1,0,0,0
416,3006,95,0,2,0,0,0,0,0
128,871,54,0,0,0,1,0,0,0
1328,9111,900,1,13,2,1,0,2,0
79,555,21,0,2,0,0,0,0,0
54,418,17,0,3,0,0,0,0,0
125,771,23,0,0,0,1,0,0,0
130,891,141,0,1,0,0,0,0,0
136,1014,77,1,1,0,0,0,0,0
280,2046,58,0,3,0,0,0,0,0
34,241,9,0,1,0,1,0,0,0
330,2170,87,3,2,0,0,0,0,0
180,1186,45,1,1,0,0,0,0,0
103,610,32,0,2,0,0,0,0,0
231,1469,32,0,1,0,0,0,0,0
77,533,12,0,2,0,1,0,0,0
19,109,7,0,0,0,0,0,0,0
168,1155,51,0,0,0,0,0,0,0
71,515,27,0,2,0,0,0,0,0
34,244,5,0,1,0,0,0,0,0
77,533,12,0,2,0,1,0,0,0
66,422,19,0,2,1,0,0,1,0
207,1536,110,0,4,0,1,0,0,0
26,189,4,0,0,0,0,0,0,0
130,945,21,0,2,0,0,0,0,0
106,601,30,0,0,0,0,0,0,0
260,1847,68,0,2,0,0,0,0,0
87,560,29,0,0,0,0,0,0,0
151,1031,21,0,0,0,0,0,0,0
95,636,14,0,0,0,0,0,0,0
27,169,3,0,0,0,0,0,0,0
205,1351,64,0,1,0,0,0,0,0
64,407,5,0,1,0,0,0,0,0
127,858,22,0,1,0,0,0,0,0
98,714,15,0,0,0,0,0,0,0
41,317,5,0,2,1,0,0,1,0
141,954,82,1,1,0,0,0,0,0
271,1779,113,0,2,0,0,0,0,0
47,391,10,0,1,0,0,0,0,0
193,1472,35,0,1,0,0,0,0,0
181,1386,27,0,2,0,0,0,0,0
112,763,50,0,1,0,0,0,0,0
30,240,8,0,0,0,0,0,0,0
93,646,18,0,3,2,0,0,2,0
116,865,78,0,1,0,0,0,0,0
161,1184,57,1,1,0,0,0,0,0
304,2021,99,2,0,0,0,0,0,0
245,1835,60,1,1,0,0,0,0,0
235,1635,75,1,4,0,0,0,0,0
211,1356,117,1,0,0,0,0,0,0
95,617,44,1,2,1,0,0,1,0
264,1830,164,1,3,1,0,0,1,0
264,1830,164,1,3,1,0,0,1,0
256,1919,218,1,9,1,0,0,1,0
201,1236,142,1,4,0,1,0,0,0
50,331,12,1,0,0,0,0,0,0
984,6799,383,1,8,2,0,0,2,0
206,1365,96,2,2,0,0,0,0,0
140,902,47,1,0,0,0,0,0,0
111,801,26,2,0,0,0,0,0,0
521,4058,380,1,3,0,0,0,0,0
128,848,115,1,2,0,0,0,0,0
88,591,89,1,0,0,0,0,0,0
226,1742,49,1,2,0,0,0,0,0
54,404,12,3,0,0,0,0,0,0
221,1500,283,5,2,0,0,0,0,0
807,5459,374,7,2,0,0,0,0,0
54,404,12,3,0,0,0,0,0,0
304,2021,99,2,0,0,0,0,0,0
70,419,11,1,1,0,0,0,0,0
