TotalWords,TotalCharacters,UpperCaseCharacters,MailCharacterOccurance,TotalSpamWords,TotalSpamPhrases,TurkishLiraCount,DollarCount,SubscribeCount,Spam
1308,8650,1408,2,18,7,1,0,7,1
1124,7610,752,1,15,7,0,0,7,1
832,5816,277,0,15,6,1,0,6,1
460,3301,336,1,10,5,0,0,5,1
120,820,46,0,1,0,0,0,0,1
519,3888,424,0,9,5,0,0,5,1
214,1621,256,1,5,3,0,0,3,1
1642,10469,1804,1,15,8,1,0,8,1
549,3783,424,1,10,5,0,0,5,1
470,3286,328,1,8,5,0,0,5,1
331,2451,74,1,5,1,0,0,1,1
430,2970,312,1,10,5,0,0,5,1
1485,9942,1230,1,12,6,0,1,6,1
163,1118,70,6,3,1,0,0,1,1
245,1929,126,3,3,0,0,0,0,1
354,1982,137,7,7,4,0,0,4,1
361,2334,125,8,2,1,0,0,1,1
484,3142,214,9,5,0,0,0,0,1
341,2090,104,9,4,1,0,0,1,1
553,5131,906,15,2,0,0,0,0,1
605,3975,318,1,5,1,0,0,1,1
410,2710,369,1,12,5,0,0,5,1
169,1048,121,1,7,5,1,0,5,1
268,1689,101,2,4,3,0,0,3,1
225,1357,88,1,4,3,0,0,3,1
415,2776,447,1,5,1,0,0,1,1
223,1384,93,1,2,3,0,0,3,1
375,2581,433,1,5,1,0,0,1,1
658,4705,483,1,10,4,1,0,4,1
724,4532,348,1,11,4,0,0,4,1
516,3581,355,1,10,4,1,0,4,1
514,3515,290,4,6,3,0,0,3,1
256,1517,89,1,1,0,0,0,0,1
542,3810,377,1,9,4,1,0,4,1
442,2925,199,1,5,0,0,0,0,1
4105,28047,2211,1,11,5,1,1,5,1
819,5571,428,1,7,4,1,0,4,1
422,2993,309,1,5,4,0,0,4,1
60,434,18,0,5,2,0,0,2,1
105,772,12,0,1,0,0,0,0,1
223,1458,71,0,4,1,0,0,1,1
105,596,58,0,5,3,1,0,3,1
302,1473,94,0,1,0,0,0,0,1
284,1581,142,0,3,3,0,0,3,1
431,3086,50,0,3,0,0,0,0,1
74,497,9,1,1,0,0,0,0,1
67,336,35,0,1,1,1,0,1,1
205,1332,171,1,8,4,1,0,4,1
47,369,83,0,1,1,1,0,1,1
126,854,65,1,3,1,0,0,1,1
166,1146,51,0,6,0,0,0,0,1
65,439,18,0,2,5,0,0,5,1
43,279,17,0,5,0,0,0,0,1
132,890,77,1,5,0,0,0,0,1
92,547,43,0,5,3,0,0,3,1
338,2174,93,0,13,3,1,0,3,1
72,481,11,0,2,0,1,0,0,1
250,1706,69,1,0,0,0,0,0,1
295,1777,244,0,4,0,0,0,0,1
47,224,17,0,1,2,1,0,2,1
607,3898,314,2,5,1,0,0,1,1
92,645,21,0,5,2,0,0,2,1
58,321,28,0,2,1,0,0,1,1
125,731,272,0,6,4,1,0,4,1
87,582,29,0,2,0,0,0,0,1
130,914,36,1,5,2,0,0,2,1
313,2225,121,2,5,0,0,0,0,1
99,579,39,2,1,0,0,0,0,1
114,791,33,2,3,1,0,0,1,1
172,1100,290,1,6,5,1,0,5,1
56,364,89,1,1,0,0,0,0,1
193,1485,295,1,4,0,0,0,0,1
372,2343,252,2,7,5,1,0,5,1
139,1138,147,1,3,0,0,0,0,1
127,808,53,1,5,3,0,0,3,1
98,647,47,1,6,2,0,0,2,1
148,984,117,3,2,2,0,0,2,1
269,1842,80,5,3,0,0,0,0,1
129,817,119,3,2,3,0,0,3,1
287,2015,67,1,3,1,0,0,1,1
68,483,20,1,1,1,0,0,1,1
176,1135,291,1,7,4,1,0,4,1
131,934,38,1,5,2,0,0,2,1
100,803,65,1,0,0,0,0,0,1
127,867,170,1,6,1,1,0,1,1
176,1132,287,1,6,5,1,0,5,1
104,595,51,2,1,0,0,0,0,1
218,1390,131,1,9,4,0,0,4,1
158,1147,51,1,2,0,0,0,0,1
282,1858,65,5,8,0,0,0,0,1
63,443,34,2,2,1,0,0,1,1
150,1169,100,2,2,0,1,0,0,1
